filepath,thesis_group,template,timeframe,description,params
thesis_04_microstructure_flow/T04-C_cons_o10_v20_15min_1037.py,04,T04-C_cons_o10_v20,15min,"OI Cascade (cons, oi=10, vol=20)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;oi_drop_threshold=0.02;oi_window=10;price_fall_threshold=0.01;return_window=5;roc_window=5;rsi_window=10;vol_spike_mult=3.0;vol_window=20;vol_window_val=20"
thesis_04_microstructure_flow/T04-C_cons_o10_v20_30min_1038.py,04,T04-C_cons_o10_v20,30min,"OI Cascade (cons, oi=10, vol=20)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;oi_drop_threshold=0.02;oi_window=10;price_fall_threshold=0.01;return_window=8;roc_window=8;rsi_window=14;vol_spike_mult=3.0;vol_window=26;vol_window_val=20"
thesis_04_microstructure_flow/T04-C_cons_o20_v10_5min_1039.py,04,T04-C_cons_o20_v10,5min,"OI Cascade (cons, oi=20, vol=10)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;oi_drop_threshold=0.02;oi_window=20;price_fall_threshold=0.01;return_window=3;roc_window=3;rsi_window=7;vol_spike_mult=3.0;vol_window=14;vol_window_val=10"
thesis_04_microstructure_flow/T04-C_cons_o20_v10_15min_1040.py,04,T04-C_cons_o20_v10,15min,"OI Cascade (cons, oi=20, vol=10)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;oi_drop_threshold=0.02;oi_window=20;price_fall_threshold=0.01;return_window=5;roc_window=5;rsi_window=10;vol_spike_mult=3.0;vol_window=20;vol_window_val=10"
thesis_04_microstructure_flow/T04-C_cons_o20_v10_30min_1041.py,04,T04-C_cons_o20_v10,30min,"OI Cascade (cons, oi=20, vol=10)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;oi_drop_threshold=0.02;oi_window=20;price_fall_threshold=0.01;return_window=8;roc_window=8;rsi_window=14;vol_spike_mult=3.0;vol_window=26;vol_window_val=10"
thesis_04_microstructure_flow/T04-C_cons_o20_v20_5min_1042.py,04,T04-C_cons_o20_v20,5min,"OI Cascade (cons, oi=20, vol=20)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;oi_drop_threshold=0.02;oi_window=20;price_fall_threshold=0.01;return_window=3;roc_window=3;rsi_window=7;vol_spike_mult=3.0;vol_window=14;vol_window_val=20"
thesis_04_microstructure_flow/T04-C_cons_o20_v20_15min_1043.py,04,T04-C_cons_o20_v20,15min,"OI Cascade (cons, oi=20, vol=20)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;oi_drop_threshold=0.02;oi_window=20;price_fall_threshold=0.01;return_window=5;roc_window=5;rsi_window=10;vol_spike_mult=3.0;vol_window=20;vol_window_val=20"
thesis_04_microstructure_flow/T04-C_cons_o20_v20_30min_1044.py,04,T04-C_cons_o20_v20,30min,"OI Cascade (cons, oi=20, vol=20)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;oi_drop_threshold=0.02;oi_window=20;price_fall_threshold=0.01;return_window=8;roc_window=8;rsi_window=14;vol_spike_mult=3.0;vol_window=26;vol_window_val=20"
thesis_04_microstructure_flow/T04-D_w10_s1_5_5min_1045.py,04,T04-D_w10_s1.5,5min,"Whale Footprint (w=10, sigma=1.5)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;return_window=3;roc_window=3;rsi_window=7;vol_window=14;whale_sigma=1.5;whale_window=10"
thesis_04_microstructure_flow/T04-D_w10_s1_5_15min_1046.py,04,T04-D_w10_s1.5,15min,"Whale Footprint (w=10, sigma=1.5)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rsi_window=10;vol_window=20;whale_sigma=1.5;whale_window=10"
thesis_04_microstructure_flow/T04-D_w10_s1_5_30min_1047.py,04,T04-D_w10_s1.5,30min,"Whale Footprint (w=10, sigma=1.5)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26;whale_sigma=1.5;whale_window=10"
thesis_04_microstructure_flow/T04-D_w10_s2_0_5min_1048.py,04,T04-D_w10_s2.0,5min,"Whale Footprint (w=10, sigma=2.0)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;return_window=3;roc_window=3;rsi_window=7;vol_window=14;whale_sigma=2.0;whale_window=10"
